game_date,game_pk,pitcher,player_name,team,opponent,home_team,away_team,is_home,p_throws,player_name_norm,career_starts,starts_last3_available,starts_last5_available,starts_last10_available,strikeouts_per_game,pitches_per_game,batters_faced_per_game,whiffs_per_game,k_per_pitch,k_rate,whiff_per_pitch_season,avg_velo_season,avg_spin_season,strikeouts_last3,pitches_last3,batters_faced_last3,whiffs_last3,k_per_pitch_last3,k_rate_last3,whiff_per_pitch_last3,avg_velo_last3,avg_spin_last3,strikeouts_last5,pitches_last5,batters_faced_last5,whiffs_last5,k_per_pitch_last5,k_rate_last5,whiff_per_pitch_last5,avg_velo_last5,avg_spin_last5,strikeouts_last10,pitches_last10,batters_faced_last10,whiffs_last10,k_per_pitch_last10,k_rate_last10,whiff_per_pitch_last10,avg_velo_last10,avg_spin_last10,k_trend_last3_vs_last10,velo_trend_last3_vs_last10,whiff_trend_last3_vs_last10,days_rest,opp_strikeouts_per_game_last10,opp_k_rate_last10,predicted_strikeouts
2026-04-19,822750,592662,Robbie Ray,SF,WSH,WSH,SF,0,,robbie ray,42,3,5,10,5.666666666666667,90.5,9.023809523809524,12.047619047619047,0.06261510128913444,0.6279683377308707,0.13312286240463037,89.78800587788552,2228.582285843852,5.0,92.33333333333333,9.0,10.0,0.05415162454873646,0.5555555555555556,0.10830324909747292,91.02580916577158,2259.072383339301,5.6,94.0,9.0,11.2,0.059574468085106386,0.6222222222222222,0.11914893617021277,91.22773780980037,2275.1873586517645,5.2,97.4,9.1,11.5,0.053388090349075976,0.5714285714285714,0.11806981519507187,89.77027075461216,2224.7227571561293,-0.20000000000000018,1.2555384111594208,-0.009766566097598947,212,10.9,1.079090909090909,5.9324155
2026-04-19,822750,676571,PJ Poulin,WSH,SF,WSH,SF,1,,pj poulin,32,3,5,10,0.90625,13.875,3.78125,1.4375,0.06531531531531531,0.2396694214876033,0.1036036036036036,85.46725894459107,2070.8828936323007,1.3333333333333333,16.0,4.0,2.3333333333333335,0.08333333333333333,0.3333333333333333,0.14583333333333334,86.09474747474746,2171.1111111111113,1.2,14.4,3.8,1.6,0.08333333333333333,0.3157894736842105,0.1111111111111111,86.55351515151514,2150.266666666667,0.8,12.6,3.6,1.0,0.06349206349206349,0.2222222222222222,0.07936507936507936,85.47349494949493,2023.847676767677,0.5333333333333332,0.6212525252525296,0.06646825396825398,203,9.6,0.9511111111111111,0.95506656
2026-04-19,823150,669022,MacKenzie Gore,TEX,SEA,SEA,TEX,0,,mackenzie gore,93,3,5,10,5.795698924731183,90.41935483870968,9.03225806451613,11.817204301075268,0.06409799024854322,0.6416666666666667,0.13069330479248426,90.89671067247204,2237.0884777504584,4.0,80.33333333333333,9.0,10.666666666666666,0.04979253112033195,0.4444444444444444,0.13278008298755187,89.73995150763369,2215.060394324326,4.0,86.8,9.0,10.2,0.04608294930875576,0.4444444444444444,0.1175115207373272,89.96186043821442,2197.8517104824095,4.5,87.9,9.0,10.5,0.051194539249146756,0.5,0.11945392491467577,89.68138255647798,2206.105439293576,-0.5,0.05856895115570637,0.013326158072876099,209,9.8,0.9944366744366745,4.92861
2026-04-19,823150,693433,Bryan Woo,SEA,TEX,SEA,TEX,1,,bryan woo,72,3,5,10,5.527777777777778,83.61111111111111,9.180555555555555,10.041666666666666,0.06611295681063123,0.6021180030257186,0.12009966777408639,92.83634053830282,2236.921142171605,9.666666666666666,87.33333333333333,9.0,15.333333333333334,0.11068702290076336,1.0740740740740742,0.17557251908396945,93.34377245352186,2317.138803351663,7.6,88.2,9.0,12.2,0.08616780045351474,0.8444444444444444,0.1383219954648526,93.5526293869001,2304.8096980510977,7.7,89.6,9.0,11.9,0.0859375,0.8555555555555555,0.1328125,93.81667880408659,2334.2283244044984,1.966666666666666,-0.4729063505647275,0.04276001908396945,212,9.3,0.8412587412587413,7.0054636
2026-04-19,823393,663556,Shane McClanahan,TB,PIT,PIT,TB,0,,shane mcclanahan,22,3,5,10,5.636363636363637,82.77272727272727,9.045454545454545,13.227272727272727,0.06809445359692477,0.6231155778894473,0.15980230642504117,90.83173897673227,2127.5113733502326,4.0,56.0,9.0,10.333333333333334,0.07142857142857142,0.4444444444444444,0.18452380952380953,91.95367271695972,2050.01488939308,4.6,64.6,9.0,11.4,0.07120743034055728,0.5111111111111111,0.17647058823529413,91.68930686741143,2073.247965424548,4.2,73.7,9.0,12.0,0.05698778833107191,0.4666666666666667,0.1628222523744912,91.15298277611038,2095.1187519696177,-0.20000000000000018,0.8006899408493382,0.021701557149318346,393,9.2,0.9114141414141415,3.9609141
2026-04-19,823393,656605,Mitch Keller,PIT,TB,PIT,TB,1,,mitch keller,97,3,5,10,5.505154639175258,91.6701030927835,9.061855670103093,8.536082474226804,0.06005398110661268,0.6075085324232082,0.0931174089068826,89.58975092045968,2480.131117261388,4.666666666666667,75.0,9.0,5.333333333333333,0.06222222222222222,0.5185185185185185,0.07111111111111111,89.41450992493037,2485.3633611864857,5.0,81.4,9.0,6.4,0.06142506142506143,0.5555555555555556,0.07862407862407862,89.25784605157659,2491.350142315756,5.0,85.5,9.0,8.1,0.05847953216374269,0.5555555555555556,0.09473684210526316,89.17940810101679,2504.6271549558132,-0.33333333333333304,0.23510182391358114,-0.02362573099415205,205,8.4,0.8451515151515153,4.813812
2026-04-19,823475,656550,Grant Holmes,ATL,PHI,PHI,ATL,0,,grant holmes,49,3,5,10,4.0,62.87755102040816,7.938775510204081,8.795918367346939,0.06361570918532944,0.5038560411311054,0.13988964621876016,89.3913577787732,2588.1836065125062,1.6666666666666667,89.0,9.0,8.666666666666666,0.018726591760299626,0.18518518518518517,0.09737827715355805,88.30720212460523,2648.8430931189587,4.0,93.8,9.0,12.8,0.042643923240938165,0.4444444444444444,0.13646055437100213,88.50624737539206,2655.2154470663436,5.9,91.9,9.0,13.9,0.06420021762785637,0.6555555555555556,0.1512513601741023,88.81183763847754,2658.810521546142,-4.233333333333333,-0.5046355138723158,-0.053873083020544235,267,10.0,1.0695959595959597,5.436179
2026-04-19,823556,666142,Cole Ragans,KC,NYY,NYY,KC,0,,cole ragans,80,3,5,10,5.7875,75.4125,8.2625,11.4625,0.07674457152328858,0.7004538577912254,0.15199734791977457,90.10105831948445,2421.485686747921,7.333333333333333,68.66666666666667,9.333333333333334,14.666666666666666,0.10679611650485436,0.7857142857142857,0.21359223300970873,90.23657407407408,2553.746117084827,6.6,73.4,9.2,11.8,0.08991825613079019,0.717391304347826,0.16076294277929154,89.61884898568636,2519.6367959846,7.4,80.3,9.1,12.7,0.0921544209215442,0.8131868131868132,0.1581569115815691,89.35789122819814,2498.5833198949613,-0.06666666666666732,0.878682845875943,0.05543532142813962,203,10.4,0.9946076146076146,6.457998
2026-04-19,823556,677960,Ryan Weathers,NYY,KC,NYY,KC,1,,ryan weathers,41,3,5,10,4.024390243902439,79.8048780487805,8.731707317073171,8.585365853658537,0.0504278728606357,0.46089385474860334,0.10757946210268948,90.37203703400182,2186.571074188829,4.666666666666667,78.66666666666667,9.0,12.0,0.059322033898305086,0.5185185185185185,0.15254237288135594,90.65838680926917,2296.7226381461674,4.4,78.4,9.0,11.4,0.05612244897959184,0.4888888888888889,0.14540816326530612,90.68883325515215,2283.265161835069,4.4,80.4,9.0,9.9,0.05472636815920398,0.4888888888888889,0.12313432835820895,91.07077412760052,2257.642852246525,0.2666666666666666,-0.4123873183313407,0.029408044523146992,207,6.7,0.6192346542346543,4.2050486
2026-04-19,823718,663903,Brady Singer,CIN,MIN,MIN,CIN,0,,brady singer,99,3,5,10,4.91919191919192,87.61616161616162,9.01010101010101,8.696969696969697,0.05614480055337791,0.5459641255605381,0.09926216278533549,87.99666120230454,2345.2270375121757,4.666666666666667,86.0,9.0,7.333333333333333,0.05426356589147287,0.5185185185185185,0.08527131782945736,87.4752531608129,2392.5841994310267,4.6,89.4,9.0,7.4,0.05145413870246085,0.5111111111111111,0.08277404921700224,87.31440442174026,2409.819004507101,5.2,88.9,9.0,8.4,0.05849268841394826,0.5777777777777777,0.09448818897637795,87.29797270279582,2416.123358347721,-0.5333333333333332,0.17728045801707992,-0.009216871146920588,203,10.2,0.997979797979798,5.2976475
2026-04-19,823718,641927,Bailey Ober,MIN,CIN,MIN,CIN,1,,bailey ober,89,3,5,10,5.292134831460674,85.10112359550561,9.089887640449438,11.47191011235955,0.06218642725112226,0.5822002472187886,0.13480327435965145,86.0677158329269,2158.6042266463155,5.0,89.66666666666667,9.333333333333334,14.0,0.055762081784386616,0.5357142857142857,0.15613382899628253,84.52561479224845,2177.404234013145,4.8,84.6,9.2,10.8,0.05673758865248227,0.5217391304347826,0.1276595744680851,84.64355983869093,2176.950878003795,4.6,87.0,9.1,10.2,0.052873563218390804,0.5054945054945055,0.11724137931034483,84.80920306020046,2162.657882586848,0.40000000000000036,-0.28358826795201253,0.038892449685937705,206,9.4,0.9414646464646463,4.4080257
2026-04-19,823881,694819,Jacob Misiorowski,MIL,MIA,MIA,MIL,0,,jacob misiorowski,15,3,5,10,5.8,77.6,9.0,10.133333333333333,0.07474226804123711,0.6444444444444445,0.13058419243986255,95.88721091763567,2514.3157177123894,3.3333333333333335,70.0,9.0,8.0,0.047619047619047616,0.37037037037037035,0.11428571428571428,95.73876289993531,2508.4368104692244,4.4,78.2,9.0,8.8,0.056265984654731455,0.4888888888888889,0.11253196930946291,95.5742826004381,2504.1574947036556,5.4,76.0,9.0,9.7,0.07105263157894737,0.6,0.12763157894736843,95.81626816126123,2507.127940785336,-2.066666666666667,-0.07750526132592483,-0.013345864661654147,204,7.2,0.6737518037518038,4.898703
2026-04-19,823881,691587,Eury Pérez,MIA,MIL,MIA,MIL,1,,eury perez,39,3,5,10,5.461538461538462,82.23076923076923,9.0,11.871794871794872,0.06641721234798878,0.6068376068376068,0.14437168693483005,91.40692737040396,2506.872824594704,8.666666666666666,86.33333333333333,9.0,14.333333333333334,0.10038610038610038,0.9629629629629629,0.16602316602316602,90.93624754588136,2557.9348783610753,7.0,86.2,9.0,12.4,0.08120649651972157,0.7777777777777778,0.14385150812064965,91.17520247489723,2548.260269121908,5.4,82.3,8.8,11.7,0.06561360874848117,0.6136363636363636,0.1421628189550425,91.50445338354457,2550.882007139565,3.2666666666666657,-0.5682058376632142,0.02386034706812351,204,7.7,0.7097979797979798,5.2782164
2026-04-19,824047,650633,Michael King,SD,LAA,LAA,SD,0,,michael king,100,3,5,10,4.35,61.02,8.01,7.27,0.07128810226155359,0.5430711610486891,0.11914126515896427,89.1991653555201,2391.3117503265403,3.0,58.666666666666664,9.0,6.333333333333333,0.05113636363636364,0.3333333333333333,0.10795454545454546,89.75111946532998,2333.3577873254562,2.4,59.2,9.0,4.8,0.04054054054054054,0.26666666666666666,0.08108108108108109,89.4598111946533,2325.3199355531683,4.5,75.4,9.0,7.0,0.05968169761273209,0.5,0.09283819628647215,89.46453044470151,2332.0623647546063,-1.5,0.2865890206284689,0.015116349168073306,204,10.8,1.112121212121212,4.855943
2026-04-19,824205,669461,Matthew Liberatore,STL,HOU,HOU,STL,0,,matthew liberatore,116,3,5,10,2.189655172413793,42.974137931034484,6.474137931034483,4.051724137931035,0.050952858575727185,0.3382157123834887,0.09428284854563691,90.08795771235155,2376.1927817796227,4.333333333333333,75.66666666666667,9.0,6.333333333333333,0.05726872246696035,0.48148148148148145,0.08370044052863436,88.23464182875948,2366.580407827467,4.8,79.2,9.0,6.4,0.06060606060606061,0.5333333333333333,0.08080808080808081,87.88895569209294,2364.0967576033263,3.9,78.1,9.0,5.6,0.0499359795134443,0.43333333333333335,0.07170294494238157,87.88121173001102,2373.612109999622,0.4333333333333331,0.3534300987484613,0.011997495586252793,210,8.7,0.8132828282828284,4.04813
2026-04-19,824205,681347,Mike Burrows,HOU,STL,HOU,STL,1,,mike burrows,24,3,5,10,4.125,66.875,8.875,7.833333333333333,0.0616822429906542,0.4647887323943662,0.11713395638629283,90.04887553599927,2221.638999630388,3.0,53.666666666666664,8.333333333333334,8.0,0.055900621118012424,0.36,0.14906832298136646,91.02591765788488,2145.8768390079863,3.4,52.4,8.6,8.8,0.0648854961832061,0.3953488372093023,0.16793893129770993,91.16385218203251,2187.4533256270142,3.7,58.5,8.8,8.0,0.06324786324786325,0.42045454545454547,0.13675213675213677,90.97124119714405,2205.6172274708324,-0.7000000000000002,0.05467646074082211,0.012316186229229698,205,9.1,0.9270707070707072,3.7076528
2026-04-19,824371,808963,Roki Sasaki,LAD,COL,COL,LAD,0,,roki sasaki,10,3,5,10,2.8,62.1,8.0,5.4,0.04508856682769726,0.35,0.08695652173913043,90.6956045556608,1501.48523179197,1.3333333333333333,28.666666666666668,5.333333333333333,3.0,0.046511627906976744,0.25,0.10465116279069768,91.35968431210368,1370.4852495175076,2.4,55.4,6.8,4.4,0.04332129963898917,0.35294117647058826,0.07942238267148015,90.58977372090276,1441.6975574348846,2.8,62.1,8.0,5.4,0.04508856682769726,0.35,0.08695652173913043,90.6956045556608,1501.48523179197,-1.4666666666666666,0.664079756442888,0.017694641051567248,205,9.3,0.9906060606060606,2.0150867
