player_name,team,opponent,predicted_strikeouts,book,pick_side,line,price,edge,pick_type,game_date,game_pk,pitcher,home_team_proj,away_team_proj,is_home,p_throws,player_name_norm,career_starts,starts_last3_available,starts_last5_available,starts_last10_available,strikeouts_per_game,pitches_per_game,batters_faced_per_game,whiffs_per_game,k_per_pitch,k_rate,whiff_per_pitch_season,avg_velo_season,avg_spin_season,strikeouts_last3,pitches_last3,batters_faced_last3,whiffs_last3,k_per_pitch_last3,k_rate_last3,whiff_per_pitch_last3,avg_velo_last3,avg_spin_last3,strikeouts_last5,pitches_last5,batters_faced_last5,whiffs_last5,k_per_pitch_last5,k_rate_last5,whiff_per_pitch_last5,avg_velo_last5,avg_spin_last5,strikeouts_last10,pitches_last10,batters_faced_last10,whiffs_last10,k_per_pitch_last10,k_rate_last10,whiff_per_pitch_last10,avg_velo_last10,avg_spin_last10,k_trend_last3_vs_last10,velo_trend_last3_vs_last10,whiff_trend_last3_vs_last10,days_rest,opp_strikeouts_per_game_last10,opp_k_rate_last10,event_id,commence_time,home_team_odds,away_team_odds,bookmaker_key,book_last_update,market_key,player_name_odds,side,side_norm,price_sort_key
Reid Detmers,LAA,TOR,0.9185639,BetMGM,under,5.5,100,4.581436097621918,official,2026-04-20,824046,672282,LAA,TOR,1,,reid detmers,111,3,5,10,3.4324324324324325,48.65765765765766,6.558558558558558,6.54054054054054,0.07054249213108683,0.5233516483516484,0.13441955193482688,88.47150893896865,2215.6055757977783,0.6666666666666666,16.0,3.6666666666666665,1.6666666666666667,0.041666666666666664,0.18181818181818182,0.10416666666666667,88.18473748473748,2313.5262515262516,0.6,16.2,3.6,1.8,0.037037037037037035,0.16666666666666666,0.1111111111111111,87.94550915750916,2352.635750915751,1.1,17.3,3.9,2.3,0.06358381502890173,0.28205128205128205,0.1329479768786127,89.11968970503182,2344.5780547522654,-0.43333333333333346,-0.9349522202943348,-0.028781310211946035,222,6.0,0.5702020202020202,043dafafb56c1b3ebf5472c9f3fe428f,2026-04-21T01:39:00Z,Los Angeles Angels,Toronto Blue Jays,betmgm,,pitcher_strikeouts,Reid Detmers,Under,under,100.0
Emerson Hancock,SEA,ATH,1.981344,DraftKings,under,5.5,-135,3.518656015396118,official,2026-04-20,823149,676106,SEA,ATH,1,,emerson hancock,40,3,5,10,2.875,68.775,8.65,6.3,0.04180298073427845,0.33236994219653176,0.0916030534351145,91.06295582069303,2241.460161374386,3.0,31.333333333333332,6.0,4.666666666666667,0.09574468085106383,0.5,0.14893617021276595,92.30041113219481,2301.2508960573477,1.8,25.6,5.8,3.4,0.0703125,0.3103448275862069,0.1328125,92.93344112376133,2252.37414874552,1.9,45.7,7.2,4.1,0.04157549234135667,0.2638888888888889,0.08971553610503283,92.80488892303558,2267.9015028520816,1.1,-0.5044777908407667,0.05922063410773312,207,9.3,0.8857070707070707,253e6890f41456a41767494219509d9b,2026-04-21T01:41:00Z,Seattle Mariners,Athletics,draftkings,,pitcher_strikeouts,Emerson Hancock,Under,under,-135.0
Justin Wrobleski,LAD,COL,1.6103363,DraftKings,under,4.5,-137,2.8896636962890625,official,2026-04-20,824370,680736,COL,LAD,0,,justin wrobleski,32,3,5,10,3.1875,52.625,7.9375,5.25,0.060570071258907364,0.4015748031496063,0.0997624703087886,91.61489474927166,2341.322961232877,1.6666666666666667,17.666666666666668,4.666666666666667,2.6666666666666665,0.09433962264150944,0.35714285714285715,0.1509433962264151,89.92833333333333,2416.4500000000003,1.6,19.6,5.2,2.6,0.08163265306122448,0.3076923076923077,0.1326530612244898,90.56999595141698,2400.4125101214577,2.3,27.0,6.5,2.9,0.08518518518518518,0.35384615384615387,0.10740740740740741,91.44226341859894,2394.765142007115,-0.6333333333333331,-1.5139300852656135,0.04353598881900768,206,9.3,0.9906060606060606,4e58a660bb4f20467d3e4261ec9f47ba,2026-04-21T00:41:00Z,Colorado Rockies,Los Angeles Dodgers,draftkings,,pitcher_strikeouts,Justin Wrobleski,Under,under,-137.0
Rhett Lowder,CIN,TB,4.104944,DraftKings,over,3.5,101,0.6049442291259766,lean,2026-04-20,822994,695076,TB,CIN,0,,rhett lowder,7,3,5,7,3.5714285714285716,71.14285714285714,9.0,6.857142857142857,0.050200803212851405,0.3968253968253968,0.0963855421686747,89.46822924412287,2323.7446125269926,3.3333333333333335,85.0,9.0,7.666666666666667,0.0392156862745098,0.37037037037037035,0.09019607843137255,89.38257030325997,2317.9280910660223,3.2,84.2,9.0,6.8,0.03800475059382423,0.35555555555555557,0.08076009501187649,89.31875820983055,2323.8805480194046,3.5714285714285716,71.14285714285714,9.0,6.857142857142857,0.050200803212851405,0.3968253968253968,0.0963855421686747,89.46822924412287,2323.7446125269926,-0.23809523809523814,-0.08565894086289916,-0.006189463737302156,569,8.4,0.8451515151515153,eaa622d11f4b04e532bbea382e56ca52,2026-04-20T22:41:00Z,Tampa Bay Rays,Cincinnati Reds,draftkings,,pitcher_strikeouts,Rhett Lowder,Over,over,101.0
